ID,상품명,바코드,입수,납품가,원코드,위치정보
88043815,쿡앤락 간편용기 1.2L*3P,8804381012186 ,16,3828 ,8804381012186 ,1
51699269,포장용기 DL-204(하),0 ,600,94 ,0 ,1
30745008,샤블리 샤워타월,8801252080336 ,1,2695 ,8801252080336 ,1
7245010,은사니트수세미(대),8806382119994 ,120,803 ,8801252070085 ,1
91599158,포장용기 403-8,0 ,500,196 ,0 ,1
51699231,코팅 붕어 소(BS-100),0 ,500,297 ,0 ,1
91799115,다이코 마스크 KF94(블랙),2100001150761 ,1,250 ,8809756170041 ,1
52345005,호일30*20(종이),8806382105287 ,30,3892 ,8801252054511 ,1
51889016,오런 에어폼라이트장갑 M,8809013611768 ,1,2350 ,8809013611768 ,1
51060005,원강밀초(1입) [선향],8803687111043 ,60,2230 ,8803687111043 ,1
51209006,롯데위생팩(소)알뜰 17*25*100,8806382127425 ,50,907 ,8801235218541 ,1
29244001,크린터치 160리필 2입,8802183200138 ,20,7050 ,8802183200138 ,1
52309006,롯데호일16*250*10,8801235200140 ,30,2035 ,8801235200140 ,1
60306080,PACE4휴대용면도기4p,8801038116242 ,144,4706 ,8801038116242 ,1
2212020,청결 다회용접시 9호 23cm,8804348003042 ,60,3245 ,8804348003042 ,1
40299006,A4용지(더블에이),8809150608829 ,5,5650 ,8856976000016 ,1
51145007,크린롤백17*25*200매,8806382105065 ,30,2871 ,8801252025054 ,1
